,name,icao,country
167,Angola Air Charter,AGO,Angola
168,Angola Air Charter,AGO,Angola
169,AERFI Group,AGP,Ireland
170,Aerogala,AGQ,Chile
171,Amadeus Global Travel Distribution,AGT,Spain
172,Angara Airlines,AGU,Russia
173,Air Glaciers,AGV,Switzerland
174,Aero Gambia,AGW,Gambia
175,Aviogenex,AGX,Serbia
176,Atlantic Coast Airlines,BLR,United States
177,Aero Barloz,BLZ,Mexico
178,Aeroper,PLI,Peru
179,Atlas Blue,BMM,Morocco
180,Aero Banobras,BNB,Mexico
181,Aero Flight Service,AGY,United States
182,Agrolet-Mci,AGZ,Slovakia
183,Air Alpha Greenland,AHA,Denmark
184,Azal Avia Cargo,AHC,Azerbaijan
185,Airport Helicopter Basel,AHE,AIRPORT HELICOPTER
186,Aeroservices Corporate,CJE,France
187,Aspen Helicopters,AHF,United States
188,Aerochago Airlines,AHG,Dominican Republic
189,Airplanes Holdings,AHH,Ireland
190,Air Hong Kong,AHK,Hong Kong
191,Aerochiapas,AHP,Mexico
192,Air Adriatic,AHR,Croatia
193,Air Viggi San Raffaele,AHS,Italy
194,ABC Air Hungary,AHU,Hungary
195,Aeromist-Kharkiv,AHW,Ukraine
196,Azerbaijan Airlines,AHY,Azerbaijan
197,Avies,AIA,Estonia
198,Airbus Industrie,AIB,France
199,Alpine Air Chile,AIH,Chile
200,Air Integra,AII,Canada
201,ABC Aerolineas,AIJ,Mexico
202,African Airlines International Limited,AIK,Kenya
203,African International Airways,AIN,Swaziland
204,Alpine Air Express,AIP,United States
205,Alicante Internacional Airlines,AIU,Spain
206,Aba Air,ABP,Czech Republic
207,Airblue,ABQ,Pakistan
208,Airmark Aviation,THM,Thailand
209,Airlift International,AIR,United States
210,Airest,AIT,Estonia
211,Air Baffin,BFF,Canada
212,Air Bandama,BDM,Ivory Coast
213,Air Berlin,BER,Germany
214,Air Brousse,ABT,Canada
215,Air Contractors,ABR,Ireland
216,Air Illinois,AIL,United States
217,Air India Limited,AIC,India
218,Air Inter Gabon,AIG,Gabon
219,Air Bourbon,BUB,Reunion
220,Air Atlanta Icelandic,ABD,Iceland
221,Air Inuit,AIE,Canada
222,Air Sureste,AIS,Spain
223,Air Srpska,SBK,Bosnia and Herzegovina
224,Air Tahiti Nui,THT,France
225,Airvias S/A Linhas Aereas,AIV,Brazil
226,Aero Services Executive,BES,France
227,Atlantic Island Airways,AIW,Canada
228,Aircruising Australia,AIX,Australia
229,Aircrew Check and Training Australia,AIY,Australia
230,Arkia Israel Airlines,AIZ,Israel
231,A J Services,AJA,United Kingdom
232,Aero JBR,AJB,Mexico
233,Aero Jet Express,AJE,Mexico
234,Avia Consult Flugbetriebs,AJF,Austria
235,Ameristar Jet Charter,AJI,United States
236,A2 Jet Leasing,AJJ,United States
237,Allied Air,AJK,Nigeria
238,Air Jamaica,AJM,Jamaica
239,Air One,ADH,Italy
240,Air Sahara,RSH,India
241,Air Malta,AMC,Malta
242,Aeroejecutivo,AJO,Mexico
243,Aero Jets Corporativos,AJP,Mexico
244,Aeroejecutivos Colombia,AJS,Colombia
245,Amerijet International,AJT,United States
246,Air Jetsul,AJU,Portugal
247,ANA & JP Express,AJV,Japan
248,Alpha Jet International,AJW,United States
249,Air Japan,AJX,Japan
250,Ajet,AJY,Cyprus
251,Air Korea Co. Ltd.,AKA,Republic of Korea
