,name,icao,country
1498,Metro Batavia,BTV,Indonesia
1499,Bulgarian Air Charter,BUC,Bulgaria
1500,Blue Airlines,BUL,Democratic Republic of the Congo
1501,Buryat Airlines Aircompany,BUN,Russia
1502,Buzz Stansted,BUZ,United Kingdom
1503,Buffalo Airways,BVA,United States
1504,Bulgarian Aeronautical Centre,BVC,Bulgaria
1505,Baron Aviation Services,BVN,United States
1506,Berjaya Air,BVT,Malaysia
1507,Bellview Airlines,BVU,
1508,Blue Wings,BWG,Germany
1509,Blue Wing Airlines,BWI,Suriname
1510,BWA (2002) Ltd,BWL,United Kingdom
1511,Bahrain Executive Air Services,BXA,Bahrain
1512,Bar XH Air,BXH,Canada
1513,Brussels International Airlines,BXI,Belgium
1515,Redding Aero Enterprises,BXR,United States
1516,Berry Aviation,BYA,United States
1517,Bylina Joint-Stock Company,BYL,Russia
1518,Berytos Airlines,BYR,Lebanon
1519,Bayu Indonesia Air,BYE,Indonesia
1520,Bizair Fluggesellschaft,BZA,Germany
1521,Brit Air,BZH,France
1522,Butane Buzzard Aviation Corporation,BZZ,United Kingdom
1523,Business Flight Salzburg,AUJ,Austria
1524,BKS Air (Rivaflecha),CKM,Spain
1525,Bristol Flying Centre,CLF,United Kingdom
1526,Barnes Olsen Aeroleasing,CLN,United Kingdom
1527,Baltimore Air Transport,CPJ,United States
1528,Boston-Maine Airways,CXS,United States
1529,Brussels Airlines,DAT,Belgium
1530,Baltimore Airways,EAH,United States
1531,Bond Aviation,EBA,Italy
1532,Brazilian Army Aviation,EXB,Brazil
1533,Business Express Delivery,EXP,Canada
1534,Bel Limited,FOS,Russia
1535,Bangkok Aviation Center,HAW,Thailand
1536,Benair,HAX,Norway
1537,Binter Canarias,IBB,Spain
1538,Bonyad Airlines,IRJ,Iran
1539,Burundaiavia,IVR,Kazakhstan
1540,Blue Air,JOR,Romania
1541,British Mediterranean Airways,LAJ,United Kingdom
1542,Belle Air,LBY,Albania
1543,Blom Geomatics,LED,Norway
1544,Benin Littoral Airways,LTL,Benin
1545,Bombardier Business Jet Solutions,LXJ,United States
1546,Bulgaria Air,LZB,Bulgaria
1547,Brazilian Navy Aviation,MBR,Brazil
1548,Barents AirLink,NKF,Sweden
1549,Belgian Navy,NYB,Belgium
1550,Bakoji Airlines Services,OGJ,Nigeria
1551,Benders Air,PEB,Sweden
1552,Balmoral Central Contracts,PNT,South Africa
1553,BGB Air,POI,Kazakhstan
1554,Butte Aviation,PPS,United States
1555,Bond Air Services,RHD,United Kingdom
1556,Business Airfreight,RLR,United States
1557,BAC Express Airlines,RPX,United Kingdom
1558,Boscombe Down DERA (Formation),RRS,United Kingdom
1559,Business Jet Sweden,SCJ,Sweden
1560,British Airways Shuttle,SHT,United Kingdom
1561,British Sky Broadcasting,SKH,United Kingdom
1562,Bell Helicopter Textron,TXB,Canada
1563,Buzzaway Limited,UKA,United Kingdom
1564,Biz Jet Charter,VLX,United States
1565,Blue Chip Jet,VOL,Sweden
1566,BAE Systems,WFD,United Kingdom
1567,BAE Systems,WTN,United Kingdom
1568,Baseops International,XBO,United States
1569,Bureau Veritas,XDA,France
1570,British Airways,XMS,United Kingdom
1571,Boskovic Air Charters Limited,ZBA,Kenya
1572,C Air Jet Airlines,SRJ,Syrian Arab Republic
1573,C N Air,ORO,Spain
1574,C and M Aviation,TIP,United States
1575,C&M Airways,RWG,United States
1576,C.S.P.,RMU,AIR-MAUR
1577,CABI,CBI,Ukraine
1578,CAI,CPI,Italy
1579,CAL Cargo Air Lines,ICL,Israel
1580,CAM Air Management,CMR,United Kingdom
1581,CATA L,CTZ,Argentina
1582,CCF Manager Airline,CCF,Germany
1583,CEDTA (Compania Ecuatoriana De Transportes Aereos),CED,Ecuador
1584,CHC Denmark,HBI,Denmark
1585,CHC Helicopters,HEM,Australia
1586,CHC Airways,SCH,Netherlands
1587,CHC Helikopter Service,HKS,Norway
1588,CI-Tours,VCI,Ivory Coast
1589,CKC Services,CKC,United States
1590,CM Stair,CMZ,Mauritania
1591,CNET,CNT,France
1592,COAPA AIR,OAP,Mexico
1593,COMAV,PDR,Namibia
1594,CRI Helicopters Mexico,CRH,Mexico
1595,CSA Air,IRO,United States
1596,CSE Aviation,CSE,United Kingdom
1597,CTK Network Aviation,CTQ,Ghana
1598,Cabair College of Air Training,CBR,United Kingdom
1599,Cabo Verde Express,CVE,Cape Verde
1600,Caernarfon Airworld,CWD,United Kingdom
1601,Cairo Air Transport Company,CCE,Egypt
1602,Cal Gulf Aviation,CGC,Sao Tome and Principe
1603,Cal-West Aviation,REZ,United States
1604,California Air Shuttle,CSL,United States
1605,Calima Aviacion,CLI,Spain
1606,Calm Air,CAV,Canada
1607,Camai Air,CAM,United States
1608,Cambodia Airlines,KHM,Cambodia
1609,Cameroon Airlines,UYC,Cameroon
1610,Campania Helicopteros De Transporte,HSO,Spain
1611,CanJet,CJA,Canada
1612,Canada Jet Charters,PIL,Canada
1613,Canadian Airlines,CDN,Canada
1614,Canadian Coast Guard,CTG,Canada
1615,Canadian Eagle Aviation,HIA,Canada
1616,Canadian Forces,CFC,Canada
1617,Canadian Global Air Ambulance,BZD,Canada
1618,Canadian Helicopters,CDN,Canada
1619,Canadian Interagency Forest Fire Centre,TKR,Canada
1620,Canadian National Telecommunications,XNC,Canada
1621,Canadian North,MPE,Canada
1622,Canadian Regional Airlines,CDR,Canada
1623,Canadian Warplane Heritage Museum,CWH,Canada
1624,Canadian Western Airlines,CWA,Canada
1625,Canair,CWW,China
1626,Cancun Air,CUI,Mexico
1627,Cape Air,KAP,United States
1628,Cape Air Transport,CTO,Australia
1629,Cape Central Airways,SEM,United States
1630,Cape Smythe Air,CMY,United States
1631,Capital Air Service,CPX,United States
1632,Capital Airlines,CPD,Kenya
1633,Capital Airlines Limited,NCP,Nigeria
1634,Capital Cargo International Airlines,CCI,United States
1635,Capital City Air Carriers,CCQ,United States
1636,Capital Trading Aviation,EGL,United Kingdom
1637,Capitol Air Express,CEX,United States
1638,Capitol Wings Airline,CWZ,United States
1639,Caravan Air,VAN,Mauritania
1640,Cardiff Wales Flying Club,CWN,United Kingdom
1641,Cardinal/Air Virginia,FVA,United States
1642,Cardolaar,GOL,Namibia
1643,Cards Air Services,CDI,Philippines
1644,Care Flight,CFH,Australia
1645,Carga Aerea Dominicana,CDM,Dominican Republic
1646,Carga Express Internacional,EST,Mexico
1647,Cargo 360,GGC,United States
1648,Cargo Express,MCX,Mauritania
1649,Cargo Ivoire,CRV,Ivory Coast
1650,Cargo Link (Caribbean),CLM,Barbados
1651,Cargo Three,CTW,Panama
1652,Cargoitalia,CRG,Italy
1653,Cargojet Airways,CJT,Canada
1654,Cargolux,CLX,Luxembourg
1655,Cargoman,CGM,Oman
1656,Carib Aviation,DEL,Antigua and Barbuda
1657,Carib Express,BCB,Barbados
1658,Caribair,CBC,Dominican Republic
1659,Caribbean Air Cargo,DCC,Barbados
1660,Caribbean Air Transport,CLT,Netherlands
1661,Caribbean Airlines,BWA,Trinidad and Tobago
1662,Caribbean Airways,IQQ,Barbados
1663,Caribbean Express,TLC,United States
1664,Caribbean Star Airlines,GFI,Antigua and Barbuda
1665,Caribintair,CRT,Haiti
1666,Carill Aviation,CVG,United Kingdom
1667,Carpatair,KRP,Romania
1668,Carranza,CRR,Chile
1669,Carroll Air Service,ULS,United States
1670,Casement Aviation,CMT,United States
1671,Casino Airline,CSO,United States
1672,Casper Air Service,CSP,United States
1673,Caspian Airlines,CPN,Iran
1674,Castle Aviation,CSJ,United States
1675,Cat Aviation,CAZ,Switzerland
1676,Catalina Flying Boats,CBT,United States
1677,Catex,TEX,France
1678,Cathay Pacific,CPA,Hong Kong SAR of China
1679,Caverton Helicopters,CJR,Nigeria
1680,Cayman Airways,CAY,Cayman Islands
1681,Cebu Pacific,CEB,Philippines
1682,Cecil Aviation,CIL,United Kingdom
1683,Cega Aviation,CEG,United Kingdom
1684,Celtic Airways,CEC,United Kingdom
1685,Celtic West,CWE,United Kingdom
1686,Centavia,CNA,Serbia
1687,Cente D'Essais En Vol,CEV,France
1688,Centennial Airlines,CNL,United States
1689,Centennial Flight Centre,CNS,Canada
1690,Center Vol,CVO,Spain
1691,Center-South,CTS,Russia
1692,Centrafrican Airlines,CET,Central African Republic
1693,Central Air Express,CAX,Democratic Republic of Congo
1694,Central Airlines,CTL,United States
1695,Central Airways,CNY,Sierra Leone
1696,Central American Airlines,ACN,Nicaragua
1697,Central Aviation,YOG,United States
1698,Central Connect Airlines,CCG,Czech Republic
1699,Central De Discos De Reynosa,DRN,Mexico
1700,Central European Airlines,CMA,Czech Republic
1701,Central Flying Service,CHA,United States
1702,Central Mongolia Airways,CEM,Mongolia
1703,Central Mountain Air,GLR,Canada
1704,Central Queensland Aviation College,CQC,Australia
1705,Central Skyport,CSI,United States
1706,Centralwings,CLW,Poland
1707,Centre Airlines,DTV,United States
1708,Centre of Applied Geodynamica,CGS,Russia
1709,Centre-Avia,CVC,Russia
1710,Centro De Helicopteros Corporativos,CCV,Mexico
1711,Centro de Formacion Aeronautica de Canarias,ACF,Spain
1712,Centurion Air Cargo,CWC,United States
1713,Century Aviation,URY,Mexico
1714,Century Aviation International,HAI,Canada
1715,Certified Air Dispatch,XAD,United States
1716,Cetraca Aviation Service,CER,Democratic Republic of the Congo
1717,Chabahar Airlines,IRU,Iran
1718,Chalair Aviation,CLG,France
1719,Chalk's Ocean Airways,CHK,United States
1720,Challenge Air Transport,CLS,Germany
1721,Challenge Aviation,CHS,Australia
1722,Challenge International Airlines,OFF,United States
1723,AC Challenge Aero,CHG,Ukraine
1724,Champagne Airlines,CPH,France
1725,Champion Air,CCP,United States
1726,Chanchangi Airlines,NCH,Nigeria
1727,Changan Airlines,CGN,China
1728,Channel Island Aviation,CHN,United States
1729,Chantilly Air,WML,United States
1730,Chaparral Airlines,CPL,United States
1731,Chari Aviation Services,CSU,Chad
1732,Charlan Air Charter,CAH,South Africa
1733,Charlie Hammonds Flying Service,HMD,United States
1734,Charlotte Air National Guard,CGD,United States
1735,Charter Air,CHW,Austria
1736,Chartright Air,HRT,Canada
1737,Chautauqua Airlines,CHQ,United States
1738,Cheboksary Airenterprise JSC,CBB,Russia
1739,Chemech Aviation,CHM,Pakistan
1740,Cherline,CHZ,Russia
1741,Chernomor-Avia,CMK,Russia
1742,Cherokee Express,CBM,United States
1743,Cherry Air,CCY,United States
1744,Chesapeake Air Service,CAB,United States
1745,Chevron U.S.A,CVR,United States
1746,Cheyenne Airways,CYA,United States
1747,Chicago Air,CGO,United States
1748,Chicago Express,WDY,United States
1749,Chief Rat Flight Services,RAT,South Africa
1750,Chilchota Taxi Aereo,CCH,Mexico
1751,Chilcotin Caribou Aviation,DES,Canada
1752,Chilliwack Aviation,CAD,Canada
1753,Chim-Nir Aviation,ETN,Israel
1754,China Airlines,CAL,Taiwan
1755,China Cargo Airlines,CKK,China
1756,China Eastern Airlines,CES,China
1757,China Express Airlines,HXA,China
1758,China Flying Dragon Aviation,CFA,China
1759,China General Aviation Corporation,CTH,China
1760,China National Aviation Corporation,CAG,China
1761,China Northern Airlines,CBF,China
1762,China Northwest Airlines,CNW,China
1763,China Ocean Helicopter Corporation,CHC,China
1764,China Postal Airlines,CYZ,China
1765,China Southern Airlines,CSN,China
1766,China Southwest Airlines,CXN,China
1767,China United Airlines,CUA,China
1768,China Xinhua Airlines,CXH,China
1769,Yunnan Airlines,CYH,China
1770,Chinguetti Airlines,CGU,Mauritania
1771,Chipola Aviation,CEP,United States
1772,Chippewa Air Commuter,CPW,United States
1773,Chitaavia,CHF,Russia
1774,Christman Air System,CAS,United States
1775,Christophorus Flugrettungsverein,OEC,Austria
1776,Chrome Air Services,CHO,United States
1777,Church Aircraft,CHU,United States
1778,Cielos Airlines,CIU,Peru
1779,Cimber Air,CIM,Denmark
1780,Cirrus,RRU,Chile
1781,Cirrus Air,NTS,United States
1782,Cirrus Airlines,RUS,Germany
1783,Cirrus Middle East,JTI,Lebanon
1784,Citationshares,FIV,United States
1785,Citibank,XCX,United States
1786,Citic General Aviation,HZX,China
1787,City Airline,SDR,Sweden
1788,City Connexion Airlines,CIX,Burundi
1789,City of Bangor,XBG,United States
1790,CityJet,BCY,Ireland
1791,Cityair (Chester) Limited,CAQ,United Kingdom
1792,Cityfly,CII,Italy
1793,BA CityFlyer,CFE,United Kingdom
1794,Cityline Hungary,CNB,Hungary
1795,Citylink Airlines,HSR,United States
1796,Civair Airways,CIW,South Africa
1797,Civil Air Patrol South Carolina Wing,BKR,United States
1798,Civil Air Transport,CAT,Taiwan
1799,Civil Aviation Authority,CIA,Slovakia
1800,Civil Aviation Authority of New Zealand,CIV,New Zealand
1801,Civil Aviation Inspectorate of the Czech Republic,CBA,Czech Republic
1802,Claessens International Limited,FMC,United Kingdom
1803,Clark Aviation,CLK,United States
1804,Clasair,CSF,United Kingdom
1805,Clay Lacy Aviation,CLY,United States
1806,Click Airways,CGK,Kyrgyzstan
1807,Cloud 9 Air Charters,CLZ,South Africa
1808,Clowes Estates Limited,CLD,United Kingdom
1809,Club 328,SDJ,United Kingdom
1810,Club Air,ISG,Italy
1811,Coast Air,CST,Norway
1813,Coastal Air Transport,TCL,United States
1814,Coastal Airways,CNG,United States
1815,Coastal Travels,CSV,Tanzania
1816,Cohlmia Aviation,CHL,United States
1817,Colaereos,OLR,Ecuador
1818,Colemill Enterprises,CLE,United States
1819,Colgan Air,CJC,United States
1820,Colibri Aviation,CAE,Canada
1821,Colt International,CCX,United States
1822,Columbia Airlines,COL,Canada
1823,Columbia Helicopters,WCO,United States
1824,Columbus Air Transport,KLR,United States
1825,Colvin Aviation,GHP,United States
1826,Comair,COM,United States
1827,Comair,CAW,South Africa
1828,Comed Group,CDE,United Kingdom
1829,Comeravia,CVV,Venezuela
1830,Comercial Aerea,CRS,Mexico
1831,Comet Airlines,CMG,Nigeria
1832,Comfort Air,FYN,Germany
1833,Comlux Aviation,CLA,Switzerland
1834,Commair Aviation,CMH,United Kingdom
1835,Commandement Du Transport Aerien Militaire Francais,CTM,France
1836,Commander Air Charter,CML,Canada
1837,Commander Mexicana,CRM,Mexico
1838,Commercial Aviation,CMS,Canada
1839,Commodore Aviation,GAR,Australia
1840,Commonwealth Jet Service,CJS,United States
1841,CommutAir,UCA,United States
1842,Comores Airlines,CWK,Comoros
1843,Compagnia Generale Ripreseaeree,CGR,Italy
1844,Compagnie Aerienne du Mali,CMM,Mali
1845,Compagnie Mauritanienne Des Transports,CPM,Mauritania
1846,Compagnie de Bauxites de Guinee,GIC,Guinea
1847,Compania Aerea de Valencia,AIF,Spain
1848,Compania Aerotecnicas Fotograficas,ATF,Spain
1849,Compania Boliviana de Transporte Aereo Privado Aerosur,ASU,ASUR
1850,Compania De Actividades Y Servicios De Aviacion,LCT,Spain
1851,Compania Ejecutiva,EJV,Mexico
1852,Compania Helicopteros Del Sureste,HSE,Spain
1853,Compania Mexicana De Aeroplanos,MDR,Mexico
1854,Compania Mexicargo,MXC,Mexico
1855,Compania Transportes Aereos Del Sur,HSS,Spain
1856,Compania de Servicios Aereos Tavisa,TAV,Spain
1857,Company Flight,CYF,Denmark
1858,Compass Airlines,CPZ,United States
1859,Compass International Airways,CPS,United Kingdom
1860,Compuflight Operations Service,XCO,United States
1861,Compuserve Incorporated,XCS,United States
1862,Conair Aviation,CRC,Canada
1863,Concordavia,COD,Ukraine
1864,Condor Aero Services,CNR,United States
1865,Condor,CIB,Germany
1866,Condor Flugdienst,CFG,Germany
1867,Confort Air,COF,Canada
1868,Congo Air,CAK,Bahamas
1869,Congressional Air,CGA,United States
1870,Conifair Aviation,ROY,Canada
1871,Connectair Charters,BSN,Canada
1872,Conquest Airlines,CAC,United States
1873,Conroe Aviation Services,CXO,United States
1874,Consorcio Aviaxsa,CHP,Mexico
1875,Consorcio Helitec,VCH,Venezuela
1876,Constanta Airline,UZA,Ukraine
1877,Contact Air,KIS,Germany
1878,Contel ASC,XCL,United States
1879,Continental Airlines,COA,United States
1880,Continental Airways,PVV,Russia
1882,Continental Micronesia,CMI,United States
1883,Continental Oil,CON,United States
1884,Conviasa,VCV,Venezuela
1885,Cook Inlet Aviation,CKA,United States
1886,Cooper Aerial Surveys,SVY,United Kingdom
1887,Copa Airlines,CMP,Panama
1888,Copenhagen Airtaxi,CAT,Denmark
1889,Copper State Air Service,COP,United States
1890,Copterline,AAQ,Finland
1891,Coptrade Air Transport,CCW,Sudan
1892,Corendon Airlines,CAI,Turkey
1893,Coronado Aerolineas,CRA,Colombia
1894,Corpac Canada,CPB,Canada
1895,Corporacion Aereo Cencor,CNC,Mexico
1896,Corporacion Aeroangeles,CPG,Mexico
1897,Corporacion Paraguaya De Aeronautica,CGY,Paraguay
1898,Corporate Air,CPT,United States
1899,Corporate Air,CPR,United States
1900,Corporate Aircraft Company,CPO,United States
1901,Corporate Airlink,COO,Canada
1902,Corporate Aviation Services,CKE,United States
1903,Corporate Flight International,VHT,United States
1904,Corporate Flight Management,VTE,United States
1905,Corporate Jets,CJI,United States
1906,Corsairfly,CRL,France
1907,Corse-Mediterranee,CCM,France
1908,Cosmic Air,COZ,Nepal
1909,Cougar Helicopters,CHI,Canada
1910,Coulson Flying Service,MGB,United Kingdom
1911,Country Connection Airlines,NSW,Australia
1912,Country International Airlines,CIK,Kyrgyzstan
1913,Courier Services,CSD,United States
1914,Court Helicopters,CUT,South Africa
1915,Coval Air,CVL,Canada
1916,Cowi,COW,Netherlands
1917,Coyne Aviation,COY,United Kingdom
1918,Cranfield University,CFD,United Kingdom
1919,Cree Airways,CRE,Canada
1920,Crelam,ELM,Mexico
1921,Crest Aviation,CAN,United Kingdom
1922,Crimea Universal Avia,KRM,Ukraine
1923,Croatia Airlines,CTN,Croatia
1924,Croatian Air Force,HRZ,Croatia
1925,Cross Aviation,CRX,United Kingdom
1926,Crossair Europe,ECC,Switzerland
1927,Crow Executive Air,CWX,United States
1928,Crown Air Systems,CKR,United States
1929,Crown Airways,CRO,United States
1930,Crownair,CRW,Canada
1931,Cruiser Linhas Aereas,VCR,Brazil
1932,Cryderman Air Service,CTY,United States
1933,Crystal Shamrock,CYT,United States
1934,Cubana de Aviación,CUB,Cuba
1935,Cumberland Airways (Nicholson Air Service),CBL,United States
1936,Custom Air Transport,CTT,United States
1937,Cygnus Air,RGN,Spain
1938,Cyprair Tours,CYC,Cyprus
1939,Cypress Airlines,CYS,Canada
1940,Cyprus Airways,CYP,Cyprus
1942,Czech Air Force,CEF,Czech Republic
1943,Czech Air Handling,AHD,Czech Republic
1944,Czech Airlines,CSA,Czech Republic
1945,Czech Government Flying Service,CIE,Czech Republic
1946,D & D Aviation,DDA,United States
1947,D&K Aviation,DNK,United States
1948,DAP Helicopteros,DHE,Chile
1949,DFS UK Limited,VLF,United Kingdom
1950,DAS Air Cargo,DSR,Uganda
1951,DAS Airlines,RKC,Democratic Republic of the Congo
1952,DAT Danish Air Transport,DTR,Denmark
1953,DAT Enterprise Limited,ENT,United Kingdom
1954,DERA Boscombe Down,BDN,United Kingdom
1955,DESNA,DSN,Ukraine
1956,DETA Air,DET,Kazakhstan
1957,DGO Jet,DGO,Mexico
1958,DHL Aero Expreso,DAE,Panama
1959,DHL Air,DHK,United Kingdom
1960,DHL Aviation,DHV,South Africa
1961,DHL International,DHX,Bahrain
1962,DHL de Guatemala,JOS,Guatemala
1963,DSWA,RSK,United States
1964,Daallo Airlines,DAO,Djibouti
1965,Dagestan Airlines,DAG,Russia
1966,Dahla Airlines,DHA,Democratic Republic of Congo
1967,Daimler Chrysler Aviation,DCS,Germany
1968,Daimler-Chrysler,DCX,United States
1969,Daka,DKA,Kazakhstan
1970,Dala Air Services,DLR,Nigeria
1971,Dalavia,KHB,Russia
1972,Dallas Express Airlines,DXP,United States
1973,Damascene Airways,DAS,Syrian Arab Republic
1974,Danbury Airways,DSA,United States
1975,Dancopter,DOP,Denmark
1976,Danish Air Force,DAF,Denmark
1977,Danish Army,DAR,Denmark
1978,Danish Navy,DNY,Denmark
1979,Danu Oro Transportas,DNU,Lithuania
1980,Darta,DRT,France
1981,Darwin Airline,DWT,Switzerland
1982,Dasab Airlines,DSQ,Uganda
1983,Dash Air Charter,DSH,United States
1984,Dash Aviation,GOB,United Kingdom
1985,Dasnair,DGX,Switzerland
1986,Dassault Aviation,DAB,France
1987,Dassault Falcon Jet Corporation,CVF,United States
1988,Dassault Falcon Service,DSO,France
1989,Data International,DTN,Sudan
1990,Date Transformation Corp,XDT,United States
1991,Dauair,DAU,Germany
1992,David Crawshaw Consultants Limited,DCO,United Kingdom
1993,Dawn Air,DWN,United States
1994,DayJet,DJS,United States
1995,Daya Aviation,DAY,Sri Lanka
1996,De Havilland,DHC,Canada
1997,Deadalos Flugtbetriebs,IAY,Austria
1998,Decatur Aviation,DAA,United States
1999,Deccan Aviation,DKN,India
2000,Deccan Aviation (Lanka),DLK,Sri Lanka
2001,Deer Jet,DER,China
2002,Deere and Company,JDC,United States
2003,Delaware Skyways,DWR,United States
2004,Delta Aerotaxi,DEA,Italy
2005,Delta Air Charter,SNO,Canada
2006,Delta Air Elite,ELJ,United States
2007,Delta Air Lines,DAL,United States
2008,Delta Engineering Aviation,KMB,United Kingdom
2009,Delta Express International,DLI,Ukraine
2010,Delta State University,DSU,United States
2011,Denim Air,DNM,Netherlands
2012,Denver Express,FEC,United States
2013,Denver Jet,DJT,United States
2014,Departmento De Agricultura De La Generalitat De Cataluna,FGC,Spain
2015,Deraya Air Taxi,DRY,Indonesia
2016,Des R Cargo Express,DRX,Mauritania
2017,Desarrollo Milaz,MIZ,Mexico
2018,Destiny Air Services,DTY,Sierra Leone
2020,Deutsche Rettungsflugwacht,AMB,Germany
2021,Deutsches Zentrum fur Luft-und Raumfahrt EV,LFO,Germany
2022,Di Air,DIS,Serbia
2023,Diamond Aviation,SPK,United States
2024,Didier Rousset Buy,DRB,Chile
2025,Digital Equipment Corporation,DGT,United States
2026,Dinar,RDN,Argentina
2027,Diplomatic Freight Services,DIP,United Kingdom
2028,Direccion General de Aviacion Civil y Telecomunicasciones,ENA,Spain
2029,Direct Air,DIA,United States
2030,Direct Air trading as Midway Connection,XAP,United States
2031,Direct Flight,DCT,United Kingdom
2032,Sky Express,SXP,Poland
2033,Dirgantara Air Service,DIR,Indonesia
2034,Discover Air,DCV,United States
2035,Discovery Airways,DVA,United States
2036,Dispatch Services,XDS,United States
2037,Dix Aviation,DIX,Germany
2038,Dixie Airways,DEE,United States
2039,Djibouti Airlines,DJB,Djibouti
2040,Dniproavia,UDN,Ukraine
2041,Flying Dolphin Airlines,FDN,United Arab Emirates
2042,Dolphin Express Airlines,IXX,United States
2043,Dome Petroleum,DPL,Canada
2044,Dominguez Toledo (Grupo Mayoral),MYO,Spain
2045,Dominicana de Aviaci,DOA,Dominican Republic
2046,Domodedovo Airlines,DMO,Russia
2047,Don Avia,DVB,Kazakhstan
2048,Donair Flying Club,DON,United Kingdom
2049,DonbassAero,UDC,Ukraine
2050,Dorado Air,DAD,Dominican Republic
2051,Dornier,DOR,Germany
2052,Dornier Aviation Nigeria,DAV,Nigeria
2053,Dos Mundos,DOM,Dominican Republic
2054,Dragonair,HDA,DRAGON
2055,Dreamcatcher Airways,DCA,United Kingdom
2056,Druk Air,DRK,Bhutan
2057,Drummond Island Air,DRE,United States
2058,Dubai Airwing,DUB,United Arab Emirates
2059,Dubrovnik Air,DBK,Croatia
2060,Ducair,DUK,Luxembourg
2061,Duchess of Britany (Jersey) Limited,DBJ,United Kingdom
2062,UK Royal/HRH Duke of York,LPD,United Kingdom
2063,Dun'Air,DUN,Mauritania
2064,Duncan Aviation,PHD,United States
2065,Dunyaya Bakis Hava Tasimaciligi,VVF,Turkey
2066,Duo Airways,DUO,United Kingdom
2067,Durango Jet,DJE,Mexico
2068,Dutch Antilles Express,DNL,Netherlands Antilles
2069,Dutch Caribbean Express,DCE,Netherlands Antilles
2070,Dutchbird,DBR,Netherlands
2071,Dwyer Aircraft Services,DFS,United States
2072,Dynair Services,XDY,United States
2073,Dynamair Aviation,DNR,Canada
2074,Dynamic Air,DYE,Netherlands
2075,dba,BAG,Germany
2076,E H Darby Aviation,EHD,United States
2078,Electronic Data Systems,1Y,
2079,EAA Escola De Aviacao Aerocondor,EAD,Portugal
2080,Executive Airlines Services,EXW,Nigeria
2081,EFAOS- Agencia De Viagens e Turismo,EFS,Angola
2082,EFD Eisele Flugdienst,EFD,Germany
2083,EFS-Flugservice,FSD,Germany
2084,EIS Aircraft,EIS,Germany
2085,EPAG Groupe Air France,IAG,France
2086,ESI Eliservizi Italiani,ESI,Italy
2087,EU Airways,EUY,Ireland
2088,EUjet,EUJ,Ireland
2089,EVA Air,EVA,Taiwan
2090,Eagle Aero,ICR,United States
2091,Eagle Air,EGR,Sierra Leone
2093,Eagle Air Company,EGX,Thailand
2094,Eagle Air Iceland,FEI,Iceland
2095,Eagle Aviation,EGU,Uganda
2096,Eagle Aviation,GYP,United Kingdom
2097,Eagle Aviation France,EGN,France
2098,Eagle International,SEG,Senegal
2099,Eagle Jet Charter,EGJ,United States
2100,Eaglemed (Ballard Aviation),EMD,United States
2101,Earth Airlines Services,ERX,Nigeria
2102,East African,UGX,Uganda
2103,East African Safari Air,HSA,Kenya
2104,East African Safari Air Express,EXZ,Kenya
2105,East Asia Airlines,EMU,Macao
2106,East Coast Airways,ECT,South Africa
2107,East Coast Jets,ECJ,United States
2108,East Hampton Aire,EHA,United States
2109,East Kansas City Aviation,EKC,United States
2110,East Midlands Helicopters,CTK,United Kingdom
2111,East Star Airlines,DXH,China
2112,East-West Airlines,EWA,Australia
2113,Eastern Air,EAZ,Zambia
2114,Eastern Air Executive,EAX,United Kingdom
2115,Eastern Airways,EZE,United Kingdom
2116,Eastern Australia Airlines,EAQ,Australia
2117,Eastern Carolina Aviation,ECI,United States
2118,Eastern Executive Air Charter,GNS,United Kingdom
2119,Eastern Express,LIS,Kazakhstan
2120,Eastern Metro Express,EME,United States
2121,Eastern Pacific Aviation,EPB,Canada
2122,Eastern Sky Jets,ESJ,United Arab Emirates
2123,Eastland Air,ELA,Australia
2124,Eastwind Airlines,SGR,United States
2125,Easy Link Aviation Services,FYE,Nigeria
2126,Eckles Aircraft,CMN,United States
2127,Eclipse Aviation,EJT,United States
2128,Eco Air,ECQ,Nigeria
2129,Ecoair,DEI,Algeria
2130,Ecomex Air Cargo,ECX,Angola
2131,Ecotour,ECD,Mexico
2132,Ecoturistica de Xcalak,XCC,Mexico
2133,Ecuatoguineana De Aviacion (EGA),ECV,Equatorial Guinea
2134,Ecuatorial Cargo,EQC,Equatorial Guinea
2135,Ecuavia,ECU,Ecuador
2136,Edelweiss Air,EDW,Switzerland
2137,Edgartown Air,SLO,United States
2138,Edinburgh Air Charter,EDC,United Kingdom
2139,Edwards Jet Center of Montana,EDJ,United States
2140,Efata Papua Airlines,EIJ,Indonesia
2141,Egyptair,MSR,Egypt
2142,Egyptair Cargo,MSX,Egypt
2143,Egyptian Air Force,EGY,Egypt
2144,Egyptian Aviation,EJX,Egypt
2145,Egyptian Aviation Company,EMA,Egypt
2146,Ei Air Exports,EIX,Ireland
2147,Eirjet,EIR,Ireland
2148,El Al Israel Airlines,ELY,Israel
2149,El Caminante Taxi Aereo,CMX,Mexico
2150,El Quilada International Aviation,GLQ,Sudan
2151,El Sal Air,ELS,El Salvador
2152,El Sol De America,ESC,Venezuela
2153,El-Buraq Air Transport,BRQ,Libya
2154,Elan Express,ELX,United States
2155,Elbe Air Transport,LBR,Germany
2156,Elbrus-Avia Air Enterprise,NLK,Russia
2157,Eldinder Aviation,DND,Sudan
2158,Elicar,PDV,Italy
2159,Elidolomiti,EDO,Italy
2160,Elieuro,ELB,Italy
2161,Elifriulia,EFG,Italy
